#L1
Scale 	RMS			PEAK	
500		189.4737	535.993449
2000	764.0000	2161.244696
5000	1859.5331	5260.348158
10000	52453.09385	11239.66551
30000	18542.1687	52453.09385
50000	45936.6420	129948.068
60000	46968.7500	132867.7511
75000	45888.8889	129812.9813

#L2	
Scale	RMS			PEAK
500		194.1909	549.3376842
2000	770.1613	2178.674089
5000	1942.6829	5495.566978
10000	3891.8033	11009.34449
30000	18321.4286	51828.65225
50000	45456.6353	128590.1989
60000	45893.1298	129824.9781
75000	45607.3620	129016.5826
		
#L3	
Scale	RMS			PEAK
500		197.4684	558.6092063
2000	779.5918	2205.351731
5000	1927.0161	5451.24789
10000	3907.8189	11054.65044
30000	18000.0000	50919.37765
50000	44074.9747	124681.6822
60000	45893.1298	129824.9781
75000	46173.9130	130619.2731
