#Scale
500
2000
5000
10000
30000
50000
60000
75000

#RMS
194.19091;	194.19092;	194.19093;
194.19094;	194.19095;	194.19096;
194.19097;	194.19098;	194.19099;
194.19100;	194.19101;	194.19102;
194.19103;	194.19104;	194.19105;
194.19106;	194.19107;	194.19108;
194.19109;	194.19110;	194.19111;
194.19112;	194.19113;	194.19114;

#PEAK
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842
549.3376842;	549.3376842;	549.3376842

#END
